               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.031613,              0.0385,            0.013873,             0.32649,             0.40583,             0.26306,              0.1081,            0.050086,             0.02848,            0.033301,            0.004357,            0.004357,            0.004357
                  59,            0.031606,             0.03758,            0.014105,              0.3348,             0.37984,             0.25456,             0.10346,            0.049721,            0.028886,            0.033977,            0.004258,            0.004258,            0.004258
                  60,            0.031266,            0.037508,            0.014036,             0.32616,              0.3881,             0.26418,             0.11079,            0.049576,            0.029112,            0.034871,            0.004159,            0.004159,            0.004159
                  61,            0.031152,            0.037467,            0.013502,             0.34587,             0.37806,              0.2712,             0.11491,            0.048941,            0.028669,            0.032854,             0.00406,             0.00406,             0.00406
                  62,            0.030706,            0.036725,            0.013363,             0.35697,             0.39404,             0.28514,             0.11519,            0.048025,            0.028786,            0.033485,            0.003961,            0.003961,            0.003961
                  63,            0.030563,             0.03669,            0.013278,             0.33272,             0.38358,             0.25655,              0.1046,            0.050194,            0.029297,            0.034179,            0.003862,            0.003862,            0.003862
                  64,            0.030346,            0.036116,            0.013917,             0.33578,             0.38624,             0.25936,             0.10465,            0.049701,            0.029526,            0.033356,            0.003763,            0.003763,            0.003763
                  65,            0.030243,             0.03637,            0.013079,             0.35226,               0.372,             0.26597,              0.1123,            0.049116,             0.02948,            0.033122,            0.003664,            0.003664,            0.003664
                  66,            0.029759,            0.035211,            0.013328,             0.36537,             0.39395,             0.28185,             0.11579,             0.04891,            0.029772,            0.033426,            0.003565,            0.003565,            0.003565
                  67,            0.029766,            0.035229,            0.013188,             0.34853,             0.38485,             0.26426,             0.10764,            0.048538,            0.029783,            0.032224,            0.003466,            0.003466,            0.003466
                  68,            0.029344,            0.034875,            0.012872,              0.3515,             0.35943,               0.255,             0.10402,             0.04885,            0.030836,            0.030742,            0.003367,            0.003367,            0.003367
                  69,            0.028868,            0.033997,            0.012443,             0.33589,             0.37505,             0.25874,             0.10324,            0.050157,            0.031237,            0.033767,            0.003268,            0.003268,            0.003268
                  70,            0.028841,            0.034183,            0.012337,             0.36721,             0.37191,              0.2743,              0.1107,            0.049551,             0.03068,             0.03452,            0.003169,            0.003169,            0.003169
